periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2010,SHAC_217,5410015,FUNDO LAS VIÑAS,-0.001015099907718118,-0.370511466317113,0.052094466984272,0,11,10,1.1,-70.6726185,-32.79366137
2000-2010,SHAC_217,5410017,FUNDO LAS MERCEDES,-9.978416774541546e-4,-0.36421221227076644,0.4954484701156616,0,8,10,0.8,-70.64294187,-32.84634701
2000-2010,SHAC_217,5410018,FUNDO LA QUIMERA,2.475473049976645e-4,0.09035476632414753,0.6922497749328613,0,11,10,1.1,-70.68087768,-32.80413913
2000-2010,SHAC_217,5410019,FUNDO LOS PINOS,-3.132006451705895e-4,-0.11431823548726516,0.4203815460205078,0,11,10,1.1,-70.66409096,-32.78070632
2000-2010,SHAC_217,5410020,FUNDO LOS CASTAÑOS,-3.253017550200811e-4,-0.11873514058232959,0.6578788757324219,0,11,10,1.1,-70.69553787,-32.76236364
2000-2010,SHAC_217,5410021,FUNDO LOS MAITENES,-1.280958610873902e-4,-0.04675498929689742,0.7474543452262878,0,11,10,1.1,-70.67754628,-32.83996231
2000-2010,SHAC_217,5414007,EL ASIENTO,-3.2655940130624125e-4,-0.11919418147677806,0.508710503578186,0,11,10,1.1,-70.73211114,-32.73550971
2000-2010,SHAC_217,5415008,PERFIL SAN FELIPE,1.8287661218995467e-5,0.006674996344933346,0.6856179237365723,0,11,10,1.1,-70.73392996,-32.73630529
2000-2010,SHAC_218,5420009,FUNDO SAN ROQUE,2.557911286641651e-5,0.009336376196242026,0.5876673460006714,0,11,10,1.1,-70.86215186,-32.79265447
2000-2010,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-5.335556861192165e-4,-0.19474782543351402,1,0,2,10,0.2,-71.02547156,-32.82884349
2000-2010,SHAC_219,5420006,FUNDO SANTA ADRIANA,3.3839591023961846e-6,0.0012351450723746074,0.8850016593933105,0,11,10,1.1,-70.82913475,-32.77221762
2000-2010,SHAC_219,5420007,HIJUELA PRINCIPAL,1.9222500469474158e-4,0.07016212671358067,0.685778021812439,0,11,10,1.1,-70.80895258,-32.75661954
2000-2010,SHAC_220,5423014,FUNDO FLORENCE,-2.7815932074175823e-4,-0.10152815207074176,0.05267307534813881,0,11,10,1.1,-71.1212261,-32.83946724
2000-2010,SHAC_220,5423015,RABUCO (1),-5.045140982474775e-4,-0.18414764586032928,1.6596887447069297e-15,1,11,10,1.1,-71.10740834,-32.8731217
2000-2010,SHAC_220,5423016,PARCELA 5,-4.5778231434384536e-5,-0.016709054473550356,0.4120343327522278,0,11,10,1.1,-71.20547884,-32.79716832
2000-2010,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),-4.9355826689402546e-5,-0.01801487674163193,0.06910082697868347,0,11,10,1.1,-71.14548902,-32.82405655
2000-2010,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,4.464281696428639e-5,0.016294628191964533,0.11793363094329834,0,11,10,1.1,-71.05552522,-32.81523187
2000-2010,SHAC_220,5423019,POZO RABUCO (2),5.956807371556211e-5,0.021742346906180172,7.070302963256836e-4,1,11,10,1.1,-71.11569622,-32.86077133
2000-2010,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),1.2931039367816092e-4,0.04719829369252874,0.07347285747528076,0,10,10,1,-71.15491881,-32.81383945
2000-2010,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,1.3280587708392198e-4,0.04847414513563152,1.8596649169921875e-4,1,11,10,1.1,-71.08206483,-32.82806788
2000-2010,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),-2.6548959152088507e-5,-0.009690370090512304,0.5334462523460388,0,11,10,1.1,-71.146715,-32.80664879
2000-2010,SHAC_220,5424006,PUCALAN DE NOGALES,7.628125242284601e-5,0.027842657134338793,0.27360033988952637,0,11,10,1.1,-71.19913908,-32.71654211
2000-2010,SHAC_220,5424007,ASENTAMIENTO NOGALES,-8.049246748716783e-5,-0.02937975063281626,0.4252545237541199,0,11,10,1.1,-71.19910174,-32.7167592
2000-2010,SHAC_220,5424008,ASENTAMIENTO EL MELON,-1.0486724668449336e-4,-0.03827654503984008,0.3285141587257385,0,11,10,1.1,-71.19693963,-32.69166388
2000-2010,SHAC_220,5424010,FUNDO EL CARMEN,1.4854430184194902e-5,0.00542186701723114,0.6147434711456299,0,11,10,1.1,-71.17176756,-32.76189317
2000-2010,SHAC_220,5424012,CONCHALI,3.7116732544378715e-4,0.13547607378698232,7.152557373046875e-6,1,11,10,1.1,-71.15662562,-32.79431312
2000-2010,SHAC_220,5425006,PARCELA SAN ANTONIO,-0,-0,0.9464499950408936,0,11,10,1.1,-71.20516138,-32.79858071
2000-2010,SHAC_220,5427010,A.P. OLMUE,-2.5324412682005583e-4,-0.09243410628932038,0.02565046399831772,1,10,10,1,-71.11547512,-32.82940126
